,0,1
location_of,-5.5572414,1.6083004
manifestation_of,0.64013743,-7.2858386
isa,4.640707,-4.5599794
affects,4.0171204,-5.861396
associated_with,6.053666,-1.0107138
interacts_with,3.3633828,-5.1572285
result_of,4.4686213,-4.7319894
complicates,-4.211926,4.0933404
occurs_in,5.320396,0.15589024
uses,-4.6582994,-2.9653165
produces,-7.092227,0.522934
degree_of,3.688303,0.4233094
connected_to,-1.8308661,3.188871
process_of,-5.5708838,-3.216474
co-occurs_with,3.678493,-0.25036883
disrupts,2.7522404,-7.529843
issue_in,2.8367465,-7.0060186
part_of,-2.844659,4.7463584
measures,-4.087991,5.6341906
prevents,4.604742,-0.57844967
causes,-0.6851889,-9.799899
indicates,4.269201,-0.18465945
treats,2.1339507,-6.265162
evaluation_of,-3.5941854,1.4403446
diagnoses,-3.2574751,5.2306705
exhibits,-0.43475828,5.0127616
ingredient_of,-2.4883215,-4.0512557
property_of,0.6560887,-8.550861
manages,0.3316624,3.0117729
assesses_effect_of,3.5176365,-3.1034732
method_of,-2.6653714,0.70904106
measurement_of,2.0076334,-2.9437234
precedes,-4.0399384,-4.5473213
consists_of,-3.3719385,1.9340719
performs,2.575951,-6.982112
conceptual_part_of,-2.4382532,-5.1639924
analyzes,-4.585952,-2.0957875
carries_out,7.1397815,-0.2742366
developmental_form_of,2.0381844,-3.6887732
contains,-2.360063,2.834665
adjacent_to,-6.773554,1.7740899
interconnects,2.5211146,-3.2354355
conceptually_related_to,1.6525131,-4.0613914
surrounds,-5.681924,-4.1092896
derivative_of,-1.0592327,-0.6279996
practices,-2.8931086,4.468215
