,0,1
acquired_abnormality,3.6393042,-3.6219423
anatomical_abnormality,3.1366146,-6.9152384
alga,-5.354958,-3.0526164
mental_or_behavioral_dysfunction,0.5944098,-7.425702
health_care_activity,-2.2114797,-5.900075
population_group,-0.66246676,-9.058272
clinical_attribute,-1.0747122,7.176039
body_part_organ_or_organ_component,1.8879569,-3.574967
biologically_active_substance,7.2178035,0.8903899
disease_or_syndrome,3.3378522,7.771615
carbohydrate,3.9775808,0.24673922
molecular_sequence,-1.4432448,-0.21364515
steroid,2.4079053,-3.547138
experimental_model_of_disease,1.7042191,-10.740685
patient_or_disabled_group,4.31395,-0.42732942
professional_or_occupational_group,-0.5332236,-5.46405
nucleic_acid_nucleoside_or_nucleotide,7.4074397,0.35792556
organism_function,-5.8708215,-0.14414348
mental_process,0.3171844,5.5612254
therapeutic_or_preventive_procedure,-3.2743804,-4.8532543
cell_function,-6.190303,2.9492784
pathologic_function,-5.95404,4.978531
organ_or_tissue_function,7.6650577,-0.7689053
enzyme,3.9664242,4.769699
cell,-3.7115448,-5.606597
cell_component,6.256306,-0.23897043
cell_or_molecular_dysfunction,-1.9789162,5.7303567
hormone,6.20356,-0.7274152
organic_chemical,4.4238877,1.1922975
behavior,1.2283978,4.2552557
neuroreactive_substance_or_biogenic_amine,6.4980774,-1.7622521
embryonic_structure,-0.10234302,8.355956
neoplastic_process,-5.9730563,-0.88565457
laboratory_procedure,4.003922,-4.2081842
natural_phenomenon_or_process,-2.9411252,-6.0362935
immunologic_factor,6.1801558,-3.2470465
receptor,3.6621907,2.7161465
self_help_or_relief_organization,-4.8463597,-0.24890679
pharmacologic_substance,-7.7271767,2.5450315
molecular_function,-5.3422947,-2.4638944
regulation_or_law,0.96625,-7.2066226
human,-7.839627,0.9090386
eicosanoid,4.178945,-3.1059394
amino_acid_peptide_or_protein,3.0519578,3.8032014
group_attribute,5.2865944,-0.82285017
organism_attribute,5.802935,-3.022545
finding,-4.239056,-2.2250745
congenital_abnormality,-0.25009447,11.272983
anatomical_structure,-3.721974,-1.7252464
molecular_biology_research_technique,2.1031547,-7.762029
diagnostic_procedure,0.5440722,-5.2116218
biologic_function,0.28727844,9.842078
tissue,6.8356986,-0.8876549
hazardous_or_poisonous_substance,-7.232548,-1.3619467
chemical_viewed_functionally,-5.616535,1.5972583
reptile,1.8124534,4.6434546
family_group,2.0751748,5.5126114
virus,4.6036377,3.19077
indicator_reagent_or_diagnostic_aid,-2.6975112,7.631086
sign_or_symptom,4.1160417,-1.9994924
antibiotic,3.2654,3.98863
chemical_viewed_structurally,2.8407316,-3.8043258
body_space_or_junction,-3.0754998,-5.084751
amphibian,6.331361,-2.8222342
health_care_related_organization,1.0956198,-6.340307
fish,4.007576,0.534263
physiologic_function,-5.331187,-4.828032
animal,7.336947,1.1113836
injury_or_poisoning,2.8964741,-7.6526957
lipid,-0.5596442,4.8698964
plant,-0.9441711,4.613016
organization,5.503553,-2.5123284
genetic_function,-6.947409,-1.072374
gene_or_genome,7.731214,-1.5801252
laboratory_or_test_result,1.209867,7.629501
spatial_concept,2.6904716,-0.37903607
rickettsia_or_chlamydia,4.1185217,-2.4190009
body_substance,-4.556111,-1.3403764
intellectual_product,4.7588453,-1.7467989
element_ion_or_isotope,-1.9023813,7.281874
research_activity,5.6132765,1.7070674
geographic_area,-5.6562324,-2.5896847
professional_society,-1.4477932,4.364515
organophosphorus_compound,-0.6549109,-4.821499
body_location_or_region,2.8529084,1.8487597
invertebrate,-4.7360888,-1.9669359
age_group,-0.4261215,-5.847566
human_caused_phenomenon_or_process,-5.37124,-1.7888962
phenomenon_or_process,0.61872494,-12.776998
individual_behavior,-1.6105675,6.661127
bird,-3.5722058,-0.90785164
mammal,1.6863035,6.5031095
qualitative_concept,2.378776,-0.9460786
environmental_effect_of_humans,-0.29890648,6.1954894
social_behavior,-1.7189845,-3.012731
biomedical_or_dental_material,1.3092335,5.2579823
quantitative_concept,4.7812624,-2.225724
inorganic_chemical,-2.4262142,3.3500178
drug_delivery_device,-3.7203803,-2.0978398
educational_activity,-4.437831,1.0679427
chemical,-0.7969581,-6.7226477
vitamin,0.2059408,-6.4033136
fully_formed_anatomical_structure,-2.6246202,-5.6051974
group,-2.650425,7.9483547
nucleotide_sequence,4.9747577,-1.0717669
body_system,3.193528,-3.1851828
food,4.6427183,3.9848762
bacterium,-3.0410595,7.821618
fungus,-4.989258,-0.3856072
research_device,-1.3760114,-6.011879
governmental_or_regulatory_activity,-4.022302,-1.5017993
idea_or_concept,6.006326,-1.3729355
occupational_activity,-6.0296407,1.4621291
physical_object,-4.9967217,-1.0671524
vertebrate,6.344514,-0.9004472
substance,-7.8117642,-0.5833026
medical_device,2.7861626,3.8681016
manufactured_object,-0.51670474,6.385344
classification,2.613518,-6.6516347
daily_or_recreational_activity,1.7136704,1.6248456
conceptual_entity,0.3995242,4.514114
occupation_or_discipline,3.5791228,-1.4774377
amino_acid_sequence,1.4285074,6.503081
clinical_drug,-3.8990262,-2.3084967
activity,-4.0379043,-4.3380375
event,-4.203106,1.3813837
temporal_concept,-6.2686524,1.9154047
archaeon,-6.571557,1.1597143
language,2.2878685,-6.192598
biomedical_occupation_or_discipline,7.0620403,-0.69868916
functional_concept,0.001151541,-4.5699553
machine_activity,-2.2939267,-2.8676841
entity,0.42190254,-5.7077427
carbohydrate_sequence,-0.9131628,-5.7701397
organism,8.113364,0.7081102
