,0,1
acquired_abnormality,6.526406,-1.2711003
anatomical_abnormality,-0.63118476,-10.643494
alga,-0.42554802,5.224824
mental_or_behavioral_dysfunction,1.8345283,6.837496
health_care_activity,3.9386387,-1.405689
population_group,-4.698937,3.1295435
clinical_attribute,-6.169294,1.5377936
body_part_organ_or_organ_component,3.1184855,-5.88014
biologically_active_substance,1.4319557,-7.7286134
disease_or_syndrome,-1.2220607,7.521538
carbohydrate,8.09361,0.67527425
molecular_sequence,4.2219396,2.115114
steroid,7.8526764,-1.9508002
experimental_model_of_disease,-12.857244,-2.079107
patient_or_disabled_group,3.8522582,-6.665698
professional_or_occupational_group,4.617134,1.8006415
nucleic_acid_nucleoside_or_nucleotide,2.038656,-7.6702824
organism_function,1.7500455,6.048811
mental_process,-0.9483577,10.067884
therapeutic_or_preventive_procedure,-4.4455957,2.5759318
cell_function,-2.2173512,6.111046
pathologic_function,-7.842591,-0.423299
organ_or_tissue_function,9.015719,-1.8089129
enzyme,-1.2848587,7.5408797
cell,0.31874236,7.626434
cell_component,-3.1859255,-3.4355729
cell_or_molecular_dysfunction,-6.8947754,0.26916742
hormone,-0.42714134,6.103796
organic_chemical,0.31131616,6.5676036
behavior,-3.172021,1.4025339
neuroreactive_substance_or_biogenic_amine,-2.3326492,4.795507
embryonic_structure,1.7509856,8.516898
neoplastic_process,4.846118,2.6547666
laboratory_procedure,2.7501457,-4.7976847
natural_phenomenon_or_process,-4.2896457,-0.038433176
immunologic_factor,6.441586,-1.7516425
receptor,3.396309,-4.464735
self_help_or_relief_organization,2.6234064,-5.07954
pharmacologic_substance,3.7036047,-3.6470165
molecular_function,-5.5735207,-0.8565055
regulation_or_law,1.4412593,-6.6844883
human,0.3118826,7.7221375
eicosanoid,4.9408875,0.09835732
amino_acid_peptide_or_protein,-1.9305162,9.931073
group_attribute,1.7420973,-6.5629673
organism_attribute,1.2502822,-8.55275
finding,-2.3928323,3.052206
congenital_abnormality,3.6125581,-0.5965453
anatomical_structure,-2.2775042,-3.9384782
molecular_biology_research_technique,-6.53901,-0.2966133
diagnostic_procedure,-0.15204479,-10.1991
biologic_function,-3.9918861,0.71324396
tissue,-3.9554985,1.9476637
hazardous_or_poisonous_substance,3.756629,2.5562508
chemical_viewed_functionally,2.8580558,-4.609396
reptile,4.6490264,-5.324593
family_group,5.317711,-2.4278085
virus,4.100175,0.8095087
indicator_reagent_or_diagnostic_aid,3.898735,1.8917378
sign_or_symptom,6.1295485,1.7690275
antibiotic,6.0644045,0.18449599
chemical_viewed_structurally,5.7498684,2.8691018
body_space_or_junction,-3.6264114,3.7184482
amphibian,-0.47698727,9.159994
health_care_related_organization,-1.3777013,-10.278127
fish,0.66905665,7.0674105
physiologic_function,0.41777495,-9.754521
animal,3.3176417,1.0535663
injury_or_poisoning,-4.7873125,4.557967
lipid,5.275543,2.0088594
plant,5.459515,-0.29012567
organization,0.5485611,-7.6181107
genetic_function,-1.2872574,-9.863055
gene_or_genome,5.978591,0.09730245
laboratory_or_test_result,-6.4244423,0.8231679
spatial_concept,-0.24838695,-4.8422494
rickettsia_or_chlamydia,0.45345703,8.0773
body_substance,-6.3695593,1.4404827
intellectual_product,0.34345138,5.4865894
element_ion_or_isotope,0.84133077,8.144743
research_activity,0.633539,-4.119064
geographic_area,3.64093,-0.75771654
professional_society,4.063779,0.6088492
organophosphorus_compound,3.212519,-1.3038809
body_location_or_region,6.7776294,-0.96000767
invertebrate,3.5061731,-1.0869515
age_group,0.70304406,-10.148865
human_caused_phenomenon_or_process,0.45303348,-3.8353674
phenomenon_or_process,-1.3202217,-5.4934735
individual_behavior,0.4857581,-5.6538353
bird,-2.9393365,5.0647597
mammal,-4.8881164,1.5739206
qualitative_concept,4.8312416,-0.81168926
environmental_effect_of_humans,-1.2981793,6.0665026
social_behavior,1.7445111,-8.169716
biomedical_or_dental_material,4.4360266,0.120963104
quantitative_concept,-5.740588,-2.0533772
inorganic_chemical,-0.49460134,7.9315896
drug_delivery_device,1.803541,-5.9141574
educational_activity,0.029445365,5.727294
chemical,-4.8029156,1.1858772
vitamin,5.0417247,-2.8173127
fully_formed_anatomical_structure,-1.0912417,-10.85736
group,-3.1307573,-0.99583054
nucleotide_sequence,1.3525964,-2.8386514
body_system,-4.192027,1.035738
food,-3.3904095,6.442671
bacterium,5.651916,-1.1463039
fungus,-8.17957,0.97614163
research_device,1.9231423,-5.182907
governmental_or_regulatory_activity,-1.6865234,4.426038
idea_or_concept,3.3749373,1.3279767
occupational_activity,-3.3313327,-4.734716
physical_object,1.4071444,-6.125755
vertebrate,0.97388726,5.2019587
substance,-5.011802,2.0685334
medical_device,0.28392237,6.6736484
manufactured_object,3.3236225,-0.80105996
classification,-0.85137767,6.02703
daily_or_recreational_activity,-5.495668,2.8707094
conceptual_entity,6.4948335,-2.3725843
occupation_or_discipline,1.1249863,-7.384107
amino_acid_sequence,-2.6677318,1.1121992
clinical_drug,-3.1122015,-1.7738721
activity,-5.8240886,-0.5928233
event,-7.006966,-0.2326978
temporal_concept,-4.6595416,-0.70041424
archaeon,-5.3201027,-1.1743152
language,-0.14631827,-3.738209
biomedical_occupation_or_discipline,0.43942228,-3.499703
functional_concept,0.61387837,-4.587084
machine_activity,1.1876872,-4.9157867
entity,0.4148439,-6.7621894
carbohydrate_sequence,-0.033979733,-5.383858
organism,-1.7342823,5.915507
