,0,1,2,3
acquired_abnormality,0.9860195,0.3274591,0.15392752,-0.4283785
anatomical_abnormality,0.8964385,0.46079317,0.16113804,-0.47258198
alga,1.7251664,0.1945772,-3.642908,0.94286084
mental_or_behavioral_dysfunction,1.1864303,0.0058687828,-0.121891454,0.06655811
health_care_activity,0.41169423,-2.8580608,0.11775122,2.2600508
population_group,0.9205113,-2.002911,-1.2180107,0.66160727
clinical_attribute,1.5350479,0.14002605,-1.4673301,-0.36880663
body_part_organ_or_organ_component,1.2130423,-1.7056166,-2.1960685,-0.6878226
biologically_active_substance,-1.0322733,0.25816384,1.68976,0.27528253
disease_or_syndrome,0.80794686,0.027650418,0.19926311,0.24733415
carbohydrate,-1.8170073,1.1710087,0.1181028,1.4699649
molecular_sequence,0.026431218,-0.34664664,-2.832453,0.43107703
steroid,-1.7387358,1.1406723,0.4792764,1.4082048
experimental_model_of_disease,1.0360056,0.13034798,0.17249748,0.055535354
patient_or_disabled_group,-0.041673265,0.21205732,-2.6834376,-0.04684139
professional_or_occupational_group,0.39038375,-1.7175206,-1.1098597,0.08740194
nucleic_acid_nucleoside_or_nucleotide,-1.7841288,1.2474185,0.20680459,1.4659754
organism_function,0.8303167,1.7182816,-1.3215153,0.20982215
mental_process,0.634635,1.3380231,-1.1791372,0.4844411
therapeutic_or_preventive_procedure,0.39107278,-2.2995822,0.7678391,1.1939591
cell_function,1.072911,1.4180548,-1.591112,0.2996255
pathologic_function,1.121733,0.23461859,0.05608902,-0.15819837
organ_or_tissue_function,0.9875883,1.6294218,-1.6657767,0.35164416
enzyme,-0.81673205,0.29799312,1.5280839,0.24338523
cell,1.5293795,-1.6787432,-2.9924912,-0.6197341
cell_component,0.89467406,-2.289028,-0.20189463,1.03418
cell_or_molecular_dysfunction,1.0785277,-0.010959439,0.103009865,0.046895728
hormone,-0.97560793,0.22554773,1.5421845,0.29606694
organic_chemical,-1.5349376,0.6191437,0.29457292,1.4968747
behavior,0.7075917,-0.2319374,-1.7306734,-0.44440746
neuroreactive_substance_or_biogenic_amine,-0.8718997,0.13851564,1.5202961,0.5426599
embryonic_structure,1.0782752,-1.8695248,-2.368053,-0.28509793
neoplastic_process,1.2156868,0.12367778,0.09847538,0.21665102
laboratory_procedure,-0.79134786,-0.4025012,1.349326,0.06353788
natural_phenomenon_or_process,0.79353,1.6547238,-1.7608068,0.00084190664
immunologic_factor,-0.8321292,0.34062082,1.4662098,0.20412068
receptor,-1.0206528,0.35171878,1.4326608,0.25491253
self_help_or_relief_organization,-0.5098296,-0.17354955,-2.173059,-0.064795084
pharmacologic_substance,-1.6138945,-1.0882198,2.141823,0.94524693
molecular_function,1.1334409,1.326696,-1.9083493,0.8642938
regulation_or_law,-0.547716,-0.83650774,-1.8814404,0.80339736
human,1.2053641,1.2054234,-3.468911,-0.07040083
eicosanoid,-2.1204307,1.6128887,0.46134013,0.84628004
amino_acid_peptide_or_protein,-1.5989537,0.5956734,-0.024945222,1.6425885
group_attribute,-0.10219044,0.12289647,-2.6965635,0.38070294
organism_attribute,1.393222,-0.22614667,-1.6547738,-0.44549945
finding,0.82961977,-3.0774007,-1.4540471,0.23427205
congenital_abnormality,1.0053273,0.31806567,0.008033744,-0.21340702
anatomical_structure,0.5493447,-1.1695285,-1.2755831,-0.6122235
molecular_biology_research_technique,-0.29444575,-1.2339506,-0.4795746,-0.3290711
diagnostic_procedure,-0.6921771,-0.33158132,1.1063191,-0.034604236
biologic_function,0.82876474,1.8682643,-1.376593,0.13749631
tissue,1.4904203,-2.0519392,-2.440696,-0.4649637
hazardous_or_poisonous_substance,-1.558404,0.39689404,2.1487243,0.38526618
chemical_viewed_functionally,-2.0138335,1.4390819,0.5517492,0.98180044
reptile,1.5462306,0.8468846,-3.5471308,0.049967032
family_group,0.3830551,0.19404326,-3.003769,0.28203171
virus,1.3410604,-0.36392143,-2.662059,1.5389583
indicator_reagent_or_diagnostic_aid,-1.9513489,1.7340168,0.4469573,0.74467325
sign_or_symptom,0.5242177,-2.3987076,0.10946121,0.664027
antibiotic,-1.4786723,-0.6709998,2.2589,0.7112036
chemical_viewed_structurally,-1.8341933,0.8849933,0.27630186,1.6052086
body_space_or_junction,1.4080471,-2.0808408,-2.5530212,0.10760298
amphibian,1.4524099,0.8551625,-3.6534534,-0.051230572
health_care_related_organization,-0.4948738,-0.2787502,-2.341335,0.15197249
fish,1.5597918,1.4309456,-3.7402906,-0.6558413
physiologic_function,0.8251688,1.7053932,-1.6888534,0.23936588
animal,1.177426,1.8339353,-3.5459516,-0.64071244
injury_or_poisoning,0.53568035,1.0282273,-0.03686898,-0.52897155
lipid,-1.7071861,0.83901364,0.2056449,1.581713
plant,1.9062189,-0.1777536,-3.5968285,0.9523973
organization,-0.6277437,-0.1956478,-2.2765362,-0.22077629
genetic_function,0.9752758,1.4161274,-1.675727,0.4875949
gene_or_genome,0.99095625,-2.3823342,-0.31319183,0.9928715
laboratory_or_test_result,0.71810246,-2.6874113,-1.5104022,-0.22607747
spatial_concept,0.21769667,0.05098528,-3.8433676,0.00037415084
rickettsia_or_chlamydia,1.7584221,-0.7506053,-3.1789856,2.0790794
body_substance,-0.39142856,1.864925,-0.7288518,0.039921
intellectual_product,-0.5181784,-0.4187704,-2.1246872,0.9870779
element_ion_or_isotope,-1.589178,0.6934635,0.20250203,1.7038275
research_activity,0.3012763,-1.4070264,-1.543208,-0.83341306
geographic_area,0.8622186,-2.2532704,-1.7089391,0.3026252
professional_society,-0.62143856,0.014018249,-2.1068182,-0.004639118
organophosphorus_compound,-1.8447769,0.9107942,0.055190988,1.7702441
body_location_or_region,0.79894966,-2.231977,-2.2577908,0.8239626
invertebrate,1.260094,0.5897692,-2.5058253,0.5666857
age_group,0.29613435,0.0030073728,-2.4478884,0.20262799
human_caused_phenomenon_or_process,0.77794105,2.676536,-3.867275,-1.4229945
phenomenon_or_process,0.92098504,3.066213,-3.736568,-1.2994754
individual_behavior,1.0085181,-0.9107967,-1.4845141,0.09835619
bird,1.5966864,0.8628319,-3.5197384,0.066027515
mammal,1.2374636,1.4721031,-3.3853397,-0.5817552
qualitative_concept,-0.33923605,0.101243444,-1.9235662,-0.6164145
environmental_effect_of_humans,1.0230534,2.383107,-4.0063443,-1.5691607
