,0,1,2,3
location_of,-1.2116693,0.6712675,1.1320653,-0.35758877
manifestation_of,0.32501462,-1.2892874,-0.012330724,-1.2269713
isa,-0.006242671,0.37652788,0.43101662,0.24669774
affects,0.76613873,0.6845902,-0.40911436,0.53868425
associated_with,-0.998841,-0.26911503,-0.21402009,1.0851275
interacts_with,-0.19516279,0.097368464,0.47490296,1.3020197
result_of,0.7582006,-0.43225083,0.4684329,-0.5715044
complicates,-2.2464428,1.7504078,2.7039258,0.2782921
occurs_in,0.57939255,-0.71928716,-1.208467,1.0892016
uses,0.9165122,-1.0835983,0.96896976,-1.0430305
produces,0.6766387,0.9480016,-1.1097658,-1.0861638
degree_of,-0.78211623,1.9329144,1.4772692,-1.3928999
connected_to,-0.7656671,0.27105728,-0.70868033,2.1085105
process_of,0.89316183,-0.14889798,0.78241396,-1.1075637
co-occurs_with,0.6662645,0.5195761,-0.030807568,-0.9534635
disrupts,-2.0444276,-0.16291073,1.7914026,1.7079196
issue_in,-0.17195472,0.49262947,0.73439497,-1.6920279
part_of,-1.5596608,0.67440945,1.4360259,0.42312607
measures,0.70634556,-0.7436296,-2.5271,-0.75597864
prevents,-1.4695612,2.1302927,0.65267783,1.028399
causes,0.7308751,-0.11060356,0.33080176,0.8883898
indicates,-1.1171049,-1.2737007,1.042443,-0.7356639
treats,-1.3425615,0.07802971,1.6982332,1.752002
evaluation_of,-1.4494026,0.65807533,2.061804,-1.2733092
diagnoses,-1.089619,-0.102997534,-0.98717356,0.33633855
exhibits,0.44974437,-1.8626162,0.8047443,0.20978783
ingredient_of,-0.10952617,-0.4484853,0.94036865,1.3721898
property_of,-0.64852357,2.0894024,-1.1084659,0.06937611
manages,0.19444823,0.1777113,0.5999186,-0.37621272
assesses_effect_of,0.29265288,0.50918293,-1.2497181,-3.1755402
method_of,-1.182771,0.67131096,-0.5703743,1.986811
measurement_of,0.9125914,-1.4323444,-0.5325001,-0.3894207
precedes,1.0004445,-0.33085227,0.058472823,0.61529
consists_of,-0.45235232,0.05309205,1.0667993,0.37145874
performs,0.24387433,-0.20749527,0.9823638,-0.44925925
conceptual_part_of,-0.06301788,1.0327481,-0.71071994,0.1372643
analyzes,0.27230936,0.9882935,-1.279729,-3.1448753
carries_out,0.34675097,0.39629138,0.94922704,-2.0517154
developmental_form_of,-1.465586,0.6454595,0.84107333,1.3027669
contains,0.11862002,-0.12893336,0.40643904,-1.6000671
adjacent_to,-0.8032186,1.3689132,0.09778687,0.7911248
interconnects,-1.2951785,-0.023224356,1.9293252,0.88519746
conceptually_related_to,0.312393,-0.6632495,0.47311085,0.76216763
surrounds,-0.5568421,0.8648857,-0.9962313,1.7243812
derivative_of,0.78097403,0.49941713,-1.3305055,-1.0141622
practices,-1.0327053,1.089229,1.7704656,-1.2065221
