,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
acquired_abnormality,-1.4426732,-0.66769,-0.5715942,-1.5272155,-0.017932123,-0.5270116,-0.897629,-1.5270038,-0.63005227,0.3857997,-0.6952692,-0.16946614,-0.14039609,1.7684336,0.30828527,0.5400761
anatomical_abnormality,-0.45376247,-0.91785824,0.9427617,0.44266924,1.1096458,0.48871443,-0.41825977,1.0522833,1.3469927,0.06964098,-1.9991677,-1.2020137,0.3200484,-0.42565995,-0.31329417,-0.1477746
alga,1.5235273,-0.4051424,-0.17128535,-1.0222452,-0.037129104,-0.189513,-0.0882781,-0.72031444,-0.36157534,0.037895013,-0.41755682,-0.27439854,2.155098,-1.1829625,1.4431509,-0.41955376
mental_or_behavioral_dysfunction,-1.0264175,0.42187518,-0.036979638,-0.5594489,0.6608324,0.32309678,1.0609345,1.9166132,0.038984317,0.84541,-0.27870473,-0.72253144,1.501635,-0.77594846,-3.06819,-0.41429296
health_care_activity,0.16254373,-0.8218169,-0.40925118,-0.82416993,-0.032572564,0.16807577,1.8472391,0.18301667,-0.53213376,-0.01306214,-0.82389915,-0.6396307,-0.3063504,-0.0927094,0.30439436,-0.5291228
population_group,-0.3690193,0.23229738,-0.5236698,0.86031705,-1.3072637,-0.3749982,0.29622102,-0.036645427,0.3762794,-0.38666993,-0.96661013,0.715309,-1.1562686,-0.7023233,0.2669526,1.867489
clinical_attribute,0.7064108,1.2362919,0.863285,-0.86660117,1.4321563,-0.7667573,-0.88045686,1.1591631,1.3823419,0.65171283,-0.05660601,-0.10263767,-2.0577123,-0.56275004,-1.4565647,-0.9840808
body_part_organ_or_organ_component,0.337662,-1.0949349,0.76507217,0.30324692,-0.30123374,-0.20678449,0.038171794,-0.9430584,2.0700388,-0.7427931,-0.4965356,1.3502299,-2.468318,1.2889758,-0.3527898,-0.14111501
biologically_active_substance,0.9288764,-1.5573967,0.5063918,1.328115,-0.2514268,-1.6438127,0.654845,-0.76954114,-1.6272042,-1.8785197,0.4979149,0.670788,2.274837,0.85527366,1.8292726,-1.6701229
disease_or_syndrome,-1.6248134,-1.2727598,1.2456805,0.35322732,0.20556615,-0.71654606,0.2835704,-1.835297,0.25016585,-0.18163797,-0.019534903,1.0310203,1.457229,1.5384873,-0.9017909,2.3475251
carbohydrate,0.45230633,-0.14102906,-0.81330854,-0.37203237,-0.6302268,-0.9291521,0.8892537,1.0836463,0.3163712,1.5973984,1.1958244,-1.7525607,-0.41708013,-0.83900297,0.020293074,0.0879026
molecular_sequence,0.38211626,0.7183028,0.082432956,1.1636536,-1.3956678,-0.4107614,-0.515054,-0.9552595,1.3849394,-0.90540236,-0.08998537,0.74321836,-0.21581852,0.48719373,-0.6737169,0.16722466
steroid,-0.10140027,1.3101702,2.2595274,0.28295127,0.99542713,-1.3651772,-2.4328537,-0.08224369,-0.055402502,1.382292,-0.40298647,1.0388075,-1.2458595,0.424418,0.355768,0.12227128
experimental_model_of_disease,0.5623159,0.7037467,-0.862891,1.0126328,-0.106857434,1.5722634,1.4944925,0.98265994,-1.3108294,0.90982294,0.8685416,-0.8698412,-0.1235822,-0.9180441,1.109047,1.4022381
patient_or_disabled_group,1.3871405,-0.64200646,-0.46800017,-1.6189976,1.0826108,1.1157749,0.24562114,0.2453418,-0.21274453,0.21194358,0.8283897,-1.5152103,1.7002299,-2.7533607,-0.7105872,-0.07529909
professional_or_occupational_group,0.10166813,0.8028127,1.3323423,-0.7644567,-0.62454844,-0.3216818,-0.10193135,-0.06921576,0.50427866,-0.61766046,-0.43625367,0.9950434,0.033269383,-1.2056181,-0.066890046,0.20718217
nucleic_acid_nucleoside_or_nucleotide,-1.3736637,0.78244954,0.05794873,0.6465279,2.3117528,0.9220173,-0.5362655,-1.8256655,-1.3270688,1.4922239,-1.1995652,0.7034866,-0.6228456,2.2672868,-0.22493719,-2.114544
organism_function,-1.058654,-1.0594779,0.7392234,-0.5300873,-0.3003411,-0.12747726,0.57527405,0.9488907,0.6942735,-2.0586534,-0.52668214,-0.824332,0.10499982,1.0095509,0.2886061,-0.40816036
mental_process,0.61945575,-0.5855929,0.98612416,0.6546717,-1.0763402,-0.64640856,-0.4749767,-0.14240266,1.3308464,0.17395522,1.4640548,0.75038344,1.1542164,0.9480641,-0.468328,0.009768699
therapeutic_or_preventive_procedure,0.8495219,-0.51328224,-0.055004645,2.1470747,-0.79654104,0.6922807,0.1719604,-0.45470548,0.13428344,0.74299514,-0.32465112,0.30174044,1.3048714,-2.0180469,-1.0380249,-0.66986907
cell_function,0.8593232,-0.66365415,0.24512987,-0.08832258,1.7262143,0.83709544,-0.33792797,-0.4626828,1.1535422,1.0397623,-0.5867905,-0.54126376,-0.26405743,0.7718941,0.0062557533,0.31565377
pathologic_function,-0.53982735,-0.4428184,-0.50541085,0.08051261,0.781648,0.23139594,0.20316179,-2.2656317,0.41545615,0.5518719,1.3197435,1.3595947,0.20783944,0.7934769,-0.6566696,-1.4683391
organ_or_tissue_function,0.41029444,1.0656579,0.84754926,-1.5369599,-0.5244614,-1.157034,1.8847553,0.24523588,1.1452637,0.32771564,-1.4111707,1.0412587,-2.6053903,-0.8374149,0.4607416,0.28693882
enzyme,-0.32631823,1.0664626,0.22131728,-1.3140798,-0.79996175,0.73853636,1.332031,-0.96940154,1.4634085,-0.35193115,-0.11014484,-0.76494867,0.82451135,-0.30461746,-0.83086866,0.36093315
cell,-0.6492471,-0.24135275,1.4220691,-1.4748262,0.7220242,-0.7384987,1.1807314,0.4264015,-0.34403387,1.7759521,-0.10109715,-0.16084161,-0.67837816,-0.649214,-0.33823752,-1.8712858
cell_component,0.6728889,-1.3476899,-0.7705575,0.11862746,-0.07439608,0.29480726,-0.09949878,0.0036992272,-0.4415922,1.3241632,0.7888155,-0.32820746,-0.7559691,0.5534171,-0.11250498,-0.009999232
cell_or_molecular_dysfunction,-0.35262737,0.42105216,-0.25253823,0.78825283,-0.27379882,-2.3284671,-1.1755364,0.019406674,0.0075744917,-2.2322495,0.6388073,0.5878502,-0.12505154,0.77273184,0.5167598,2.212418
hormone,0.6164961,1.1175109,1.2012732,-0.16227427,-1.9847034,-0.12912884,-0.14479336,0.6042547,0.38897246,-0.19123071,-0.2892335,-0.26512596,-1.0968636,-0.5075649,1.3354685,-0.6828129
organic_chemical,-0.07872077,0.19237109,0.21477334,0.1916937,-0.49253824,0.91533417,1.7940618,-1.1562775,0.69933766,0.16509694,-1.5215851,1.6629955,-3.423529,0.824279,-2.2270699,-0.77819747
behavior,0.72461784,1.1711061,0.24446337,0.5784994,0.915587,-0.62162036,-0.67267156,0.25772393,-0.43542835,-0.99062324,-0.4749766,-0.7429323,-0.01333826,-0.75696653,-1.0321655,0.47950825
neuroreactive_substance_or_biogenic_amine,-0.10690468,0.24544188,-0.28846964,-0.38731498,0.99026424,0.9395405,-0.17310473,-0.13076036,-1.2575337,-0.47106794,-0.947235,1.5831807,-2.0185869,0.7583356,-0.3125349,-1.8737235
embryonic_structure,-1.6189854,0.07007696,-0.25021875,1.3168045,0.050834328,-0.42787382,-0.007776353,-0.5559002,0.931916,0.779844,0.6248519,0.86368066,-0.6632806,0.74112344,-0.087584,-0.039844513
neoplastic_process,0.4633634,1.2898829,-0.28595203,-0.11361826,-0.19486006,0.4797209,-0.25435168,-1.2963005,-0.023179157,1.3734295,-1.7818017,0.07093005,0.46487635,0.15476716,-0.2728291,-0.16150445
laboratory_procedure,0.12820864,-0.8794239,0.49481103,1.0521036,0.11038978,0.8929342,-0.1814739,-0.4714403,-0.9609653,-0.2161323,1.0013347,-0.82896626,-1.7686284,0.6511245,0.75768065,-0.107588045
natural_phenomenon_or_process,0.07047534,0.95522857,-0.19815089,-2.653523,0.42839783,-0.6345519,0.18352617,0.11610527,-0.80475336,0.876222,0.35754412,-1.194404,-0.7274946,1.2999804,0.46235025,-0.20988333
immunologic_factor,-0.63164306,-0.94675684,0.6023179,-0.7185312,1.2026879,0.7107484,-0.38108927,-0.63110274,-0.5095296,-0.05759526,-0.7928416,0.21886352,0.8005882,0.73081917,0.368371,0.068707496
receptor,-0.72931683,0.6937105,0.42779434,0.522823,-0.1475877,1.2626255,-0.8716976,1.5670819,-0.87160176,0.9693149,1.5645624,-0.6969121,-1.9822534,-0.43456718,-0.0037163983,-1.421655
self_help_or_relief_organization,0.5846547,-1.6856682,0.7138081,-0.8046704,-0.10072054,0.7232142,0.054295834,2.8292055,-1.6662984,0.13960801,-0.32676497,-2.84014,0.8754632,0.3506915,-1.2434145,-0.08550225
pharmacologic_substance,0.1742305,0.28015992,1.5606878,-0.05690804,-0.46275944,-0.064030476,1.2292547,-1.197309,-0.30799162,-1.046638,-0.11695895,-0.3072452,-0.25440183,2.0377164,-1.1814313,-0.36105594
molecular_function,-1.6565765,-0.49299857,-0.29990584,-1.6415118,-1.1272035,-1.2886598,1.8869039,0.04986334,-0.45747733,2.4948723,0.65346175,0.89426076,-0.56816846,2.0879982,-0.44659323,0.19554555
regulation_or_law,0.4674799,-1.0556407,0.68139005,-1.6102821,1.2148918,-0.7179529,-0.21491134,0.24519874,-0.021307107,0.085790955,1.1745647,-2.7373035,0.25903267,0.7078466,-0.110723786,1.7869841
human,0.16493353,-2.317712,0.7831969,0.49524352,-0.19815932,1.425066,-0.490416,-0.5553038,-0.9359929,2.0349402,-0.59733623,0.9361199,-0.22174904,1.4066684,-1.1217743,0.01716141
eicosanoid,-0.0299331,0.9196905,0.46681395,-0.37420163,-0.8882581,0.35740945,-1.279508,-0.39318386,-0.39423785,-0.96320194,0.7783767,1.2717885,-0.4068908,-0.22865953,-1.8394605,0.30021647
amino_acid_peptide_or_protein,-0.28755805,-0.23409753,0.8986033,0.32070038,0.1294871,0.1785839,-0.38592038,-0.035365283,-0.85569376,0.36669272,-1.4093617,-0.57526773,0.2926019,1.1804565,0.28914708,0.091872275
group_attribute,1.0594445,0.07759011,0.44405413,-2.672506,-1.4767975,-0.15925963,-0.90546405,0.33131486,-0.48445466,0.90339977,1.800567,-0.11476768,1.3822966,-0.48841652,-0.26133183,0.70848954
organism_attribute,-1.916567,-0.663326,1.3747054,0.29868245,-1.4955869,0.9646065,0.4166881,0.01602412,-0.39152497,1.693905,-0.22420518,-0.04563347,0.60035014,1.6819289,-1.5513557,-0.6720004
finding,1.139081,-0.3396941,0.6104108,0.19856596,-0.35825354,-0.8575225,0.39542148,0.8405575,0.2369535,-0.83062345,-1.3689684,-0.7621773,-0.16124234,1.3125508,-0.34522194,-0.019626612
congenital_abnormality,0.9657541,-0.08969469,0.45264027,1.5915782,-1.6801441,-1.6599486,0.049698338,-0.9590752,1.0084206,0.33128273,-0.7972957,0.9328944,1.2297177,-1.257293,0.31627935,-0.48517105
anatomical_structure,-1.0047486,0.081027515,0.16243081,0.040464755,-0.06623405,-1.4902323,-2.7620108,-0.83484674,-0.4841996,1.5727931,0.44831768,1.3115498,0.26149726,-1.1673026,0.77998585,-0.40890735
molecular_biology_research_technique,-0.319228,0.26943487,0.57302856,-0.16409966,1.5491236,-0.612022,-0.26825386,0.24576047,-0.274732,-0.93555677,-0.44169533,-0.8324149,-2.434973,0.3917889,-0.53147954,0.32100543
diagnostic_procedure,0.7510344,-0.33288935,-2.1079957,0.61851805,-0.7449754,-1.237656,-1.3403013,0.15334977,0.043074198,2.591855,-0.9752694,3.47494,-0.6993809,0.8912177,1.5634295,-1.4266219
biologic_function,-1.8813852,-0.65993005,-1.2203357,-0.89127153,1.244798,-1.2678834,-0.41258153,1.0419693,-0.7505839,2.8238409,1.0549423,0.7394686,1.7311159,1.7084545,-0.69912696,-1.2314606
tissue,0.07872755,0.27901453,1.806758,-0.7583113,-0.652753,0.32921937,1.062579,-1.9116904,-0.9989688,0.35266855,0.87328297,0.13732913,-2.140303,0.18706933,0.55559546,0.09631413
hazardous_or_poisonous_substance,0.7860937,1.3638186,-0.053679574,0.8750487,0.10461315,-1.0420685,0.03851062,0.7713042,0.40243542,1.0609642,0.08046511,0.30583644,-0.54019845,0.37458023,0.6599009,-1.1661452
chemical_viewed_functionally,-0.2953305,-1.1065357,-0.49234682,0.16165514,1.4173453,-1.2429298,0.4075528,1.3839655,-0.30586854,-0.34873334,0.2711245,0.48193923,0.9610955,-1.0246137,-0.34229854,0.14770006
