,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
acquired_abnormality,-0.8191013,0.28590697,0.36529517,-0.6878313,0.71232104,0.10159605,-0.35836968,-1.0644095,-0.23261191,0.7281692,-0.39936838,0.087230906,0.08324242,1.9645507,0.4820822,0.70111525
anatomical_abnormality,-0.40499577,-1.2579744,0.5170735,0.052258324,0.8014282,0.28230163,-0.5155468,1.0652924,1.4682707,0.29560867,-1.6735024,-0.77866554,0.8198598,0.22715497,0.12848057,0.87226325
alga,3.0602264,0.59863275,0.5903816,-0.52778405,0.27670905,-0.031640187,-0.067880586,-0.8293233,-0.58753777,-0.29749918,-0.8534187,-0.82207066,1.4730512,-2.0058796,0.52748865,-1.7507516
mental_or_behavioral_dysfunction,-0.46206036,-0.23936707,-0.8748641,-1.2255775,0.19753216,0.10069324,1.029012,2.060216,0.34057775,1.2802361,0.27698705,-0.07467683,2.2039943,-0.12033483,-2.5061727,0.14536719
health_care_activity,2.9851413,-0.3194602,-0.329722,-0.8635741,-0.11562359,0.06597653,1.7362622,0.068160444,-0.64754397,-0.12769496,-0.93557197,-0.76599675,-0.38997826,-0.48232433,0.4807786,-0.8890683
population_group,-0.78727424,1.2444992,0.70093405,1.8497032,-0.68356735,-0.11851106,0.23210534,-0.36195442,-0.15256698,-1.0648783,-1.7191108,-0.028063346,-1.8654718,-1.3248123,-0.5841008,1.1061392
clinical_attribute,-0.2591158,0.32109314,0.40684342,-1.0216943,1.4619727,-0.6201288,-0.6567033,1.4361705,1.6980194,0.9963279,0.31170535,0.28289908,-1.6518437,-0.15566939,-1.0012258,-0.6448492
body_part_organ_or_organ_component,-0.19160168,-1.0716606,0.5197758,-0.24379992,-1.0364867,-0.9888293,-0.7053508,-1.5474737,1.6090325,-0.9943214,-0.5793045,1.4884953,-2.1649957,1.792953,0.26550904,0.6631301
biologically_active_substance,0.7451243,-2.4139388,-0.12019673,0.98006445,-0.3374375,-1.7162592,0.6558139,-0.898961,-1.893337,-2.3933425,-0.25107917,-0.42280272,0.9178905,-0.99203813,-0.23341617,-4.0077524
disease_or_syndrome,-0.5504214,-1.3968465,1.0604272,0.32753405,0.27393964,-0.5609363,0.44294932,-1.663536,0.37234476,-0.08322613,0.026442608,1.0236348,1.3838273,1.4307878,-1.192324,2.0103693
carbohydrate,1.5440981,-0.69872415,-1.7309055,-1.3737278,-1.5275955,-1.7942115,0.1501239,0.34643826,-0.2618859,1.0018994,0.722306,-2.2783642,-0.8601055,-1.4217203,-0.48374888,-0.58148223
molecular_sequence,0.9056751,1.3125445,0.4773314,1.3537832,-1.4209464,-0.47593996,-0.91063327,-1.2080792,0.7911172,-1.2989256,-0.8071062,0.25811282,-1.0140355,-0.041453347,-1.5025413,-0.22814229
