,0,1
acquired_abnormality,-0.8736014,0.3470012
anatomical_abnormality,-0.7931533,0.37169993
alga,1.1351672,2.0597346
mental_or_behavioral_dysfunction,-1.035702,0.41269684
health_care_activity,0.13502547,-0.44931498
population_group,1.2479764,-1.5697491
clinical_attribute,-0.14668316,-0.43595448
body_part_organ_or_organ_component,-0.30382335,0.9929873
biologically_active_substance,1.0015056,2.3592014
disease_or_syndrome,-0.94954145,0.39741835
carbohydrate,1.2116586,2.0647192
molecular_sequence,1.2392151,-1.1168796
steroid,1.3452203,2.357701
experimental_model_of_disease,-1.0501163,0.4764094
patient_or_disabled_group,1.1385528,-1.3703303
professional_or_occupational_group,1.3226591,-1.4879353
nucleic_acid_nucleoside_or_nucleotide,1.3209238,2.279417
organism_function,-0.9742029,0.4990122
mental_process,-0.7221605,0.38207766
therapeutic_or_preventive_procedure,-0.15398808,-0.03888938
cell_function,-0.90908754,0.62986344
pathologic_function,-1.102021,0.46135956
organ_or_tissue_function,-0.92628616,0.4824089
enzyme,0.81163585,2.3105235
cell,-0.46321735,0.7783382
cell_component,-0.25418276,0.96678245
cell_or_molecular_dysfunction,-1.0267338,0.3548469
hormone,1.1103739,2.437632
organic_chemical,1.5754924,2.2911394
behavior,0.14919147,-0.43602878
neuroreactive_substance_or_biogenic_amine,1.0543331,2.2226698
embryonic_structure,-0.02814827,0.77657896
neoplastic_process,-1.0864128,0.3396514
laboratory_procedure,0.5070689,-1.1188291
natural_phenomenon_or_process,-0.7450225,0.46093714
immunologic_factor,0.7545036,2.1796386
receptor,0.79917645,2.3920934
self_help_or_relief_organization,2.6064832,-0.2405316
pharmacologic_substance,1.8550105,2.9202383
molecular_function,-0.9880877,0.52139497
regulation_or_law,2.5758095,-0.22604336
human,1.0252254,2.0667253
eicosanoid,1.286479,2.1541953
amino_acid_peptide_or_protein,1.2431822,1.6609396
group_attribute,1.7577454,-0.9449005
organism_attribute,-0.013532057,-0.47745705
finding,1.35884,-1.981092
congenital_abnormality,-0.97342736,0.40516943
anatomical_structure,0.019948194,0.7379484
molecular_biology_research_technique,1.4737546,-1.4830446
diagnostic_procedure,0.30277598,-0.7999984
biologic_function,-0.8673919,0.43415833
tissue,-0.28959027,1.0218403
hazardous_or_poisonous_substance,1.3026739,2.6801846
chemical_viewed_functionally,1.6987413,2.092655
reptile,1.3117765,2.0645962
family_group,1.066096,-1.3760209
virus,0.05030848,1.1338927
indicator_reagent_or_diagnostic_aid,1.6029613,2.1446292
sign_or_symptom,1.451001,-2.127923
antibiotic,1.6723223,2.6891596
chemical_viewed_structurally,1.9345334,2.2705245
body_space_or_junction,0.20268738,0.96194583
amphibian,1.1662416,1.9363843
health_care_related_organization,2.1674368,0.15159893
fish,1.2670262,2.42403
physiologic_function,-0.9074825,0.55082095
animal,1.1794324,2.1731884
injury_or_poisoning,-0.8163641,0.20450011
lipid,1.2561104,2.1943429
plant,1.1796579,2.1949508
organization,2.3761373,-0.13028318
genetic_function,-0.9084378,0.5219937
gene_or_genome,-0.3267093,0.91865003
laboratory_or_test_result,1.7957648,-2.510335
spatial_concept,1.5333425,-0.87504625
rickettsia_or_chlamydia,1.1291683,2.264376
body_substance,0.98664564,2.059977
intellectual_product,2.6174538,-0.33741394
element_ion_or_isotope,1.7581625,2.2249026
research_activity,1.6125231,-1.8601353
geographic_area,1.366503,-1.180665
professional_society,2.328627,-0.09199426
organophosphorus_compound,1.4705185,2.0164423
body_location_or_region,0.42153654,0.41716084
invertebrate,1.343455,2.2492023
age_group,1.1017753,-1.3498083
human_caused_phenomenon_or_process,0.054064862,-0.6840072
phenomenon_or_process,-0.18201517,-0.37832996
individual_behavior,0.2006108,-0.68770087
bird,1.3023585,2.204308
mammal,1.3070953,2.1954343
qualitative_concept,0.732553,-0.7686566
environmental_effect_of_humans,-0.007075334,-0.4262681
social_behavior,0.37544826,-0.69183046
biomedical_or_dental_material,1.5040243,2.109928
quantitative_concept,1.0633802,-0.03658712
inorganic_chemical,1.6534492,2.6206164
drug_delivery_device,3.468239,1.2369133
educational_activity,1.4481149,-1.6284282
chemical,1.7025777,2.3419402
vitamin,1.0348929,2.4562666
fully_formed_anatomical_structure,-0.35138083,0.73958033
group,1.1891404,-1.4472775
nucleotide_sequence,1.2635965,-1.15539
body_system,1.6462247,-1.0400684
food,1.5673422,1.696903
bacterium,1.0016658,2.2195873
fungus,1.0358621,2.3729224
research_device,3.0021896,0.67526877
governmental_or_regulatory_activity,1.5060883,-1.5087354
idea_or_concept,1.5276877,-1.012277
occupational_activity,1.5251645,-1.7899203
physical_object,2.5770857,1.4469632
vertebrate,1.4654001,2.4090326
substance,2.6555002,1.5235494
medical_device,3.593772,1.2437505
manufactured_object,2.8367372,0.85895634
classification,2.3579886,-0.4031481
daily_or_recreational_activity,1.4377981,-1.5199189
conceptual_entity,2.651809,-0.8662533
occupation_or_discipline,1.2814869,-1.6360068
amino_acid_sequence,2.0315082,-0.9187574
clinical_drug,2.564275,0.47288573
activity,1.5817506,-1.7072656
event,1.5608087,-0.42353672
temporal_concept,1.1398828,-1.3309585
archaeon,1.3875037,2.0744555
language,2.7152386,-0.3824372
biomedical_occupation_or_discipline,1.2461085,-1.5084107
functional_concept,1.5654389,-0.89158785
machine_activity,1.281987,-1.3713768
entity,2.672247,0.28717637
carbohydrate_sequence,2.5956883,-0.8191809
organism,1.3401521,2.294656
