,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,-0.45025858,0.409237,0.2448247,-1.8136988,0.4566101,-1.1245008,0.66335917,-1.6769348,0.80931425,0.68722355,0.13573015,-0.79825497,1.6489872,0.5884696,0.056301918,1.7276677,-0.20959596,0.48378628,0.22835243,-0.49424902,1.2506112,-0.290879,0.53013456,2.516615,-0.15953065,0.3383085,0.3377254,-0.12019383,1.6460365,-0.80733657,0.31215474,0.7979561
manifestation_of,-1.0981294,-0.97857124,-1.1383041,0.15567794,-0.5121554,-1.337177,-0.3365318,0.64821243,1.3115023,0.77859545,0.9516364,0.85093445,-0.3047005,-1.3168244,0.99586976,1.8948909,0.47007215,0.96090204,0.09125738,-0.3300697,-1.6566315,-0.03545435,0.025360474,0.43882915,-2.0473692,-0.6668044,1.4117612,0.6181377,0.8787205,2.1910298,-1.3781235,2.272371
isa,-1.4758787,1.3737271,0.7881315,0.11693364,0.7083313,0.84652203,0.9336783,-0.50504506,0.07501162,-1.0877706,0.6801497,2.4987407,0.027575104,-1.2870759,-1.714114,-0.33280328,-0.7478262,-0.15726544,0.6576279,0.7301886,0.97943753,-0.24768536,-0.4321229,0.6495758,-1.1205357,0.2350034,1.4019623,0.30309162,-1.3369513,0.52768505,-0.37272796,-1.8002945
affects,0.08804212,-0.6102102,0.63898087,-0.49718103,-1.1218883,0.9818633,1.4643154,-0.224432,-0.8980429,0.41638675,0.35466132,1.1453842,-0.033807993,-0.4156174,-0.11798391,0.32269567,0.2923769,-2.0560303,-0.73951143,0.6906147,0.09104772,1.2557611,-0.8957201,-0.9750905,0.45175788,-0.5335193,1.9806062,-1.7007284,0.19085932,-0.53891695,-1.1244143,-0.97596014
associated_with,0.07089196,1.1045027,-0.5118331,0.06636866,0.28599274,-0.9909822,1.5186675,1.3975114,0.70626986,0.099005446,1.2201979,0.49147052,-1.395556,-1.3736796,0.18106614,1.7411885,0.014566368,-1.0254455,0.7969899,-1.0917166,-0.6623917,1.5528936,1.2032844,0.22721691,0.2613026,-1.1359562,1.2892826,-0.5491689,-0.51912385,1.7218869,-1.635473,0.20160682
interacts_with,-0.54470545,-0.5753453,-0.07072724,-0.8369957,-0.4744147,1.5824401,-0.08128133,-0.8139056,-0.43314704,-0.8565862,-0.70853215,0.877097,-0.40693855,0.8992382,0.10124633,-0.17623489,-0.2639665,-0.489994,1.2809005,0.30094486,1.6845745,0.7063295,0.79091483,-0.8137305,0.26861614,-0.5982565,-0.47519886,-0.22257032,-1.0930581,0.25743094,-0.2217464,-1.5362319
result_of,-0.55988574,0.8069521,0.6128216,-0.4396681,0.59809315,-0.29475307,0.13592856,-0.29233885,1.2994998,0.34967574,0.08344347,-0.28978017,1.1628695,0.46508312,0.161995,1.9196701,0.935358,0.65287244,0.44136372,1.1397386,-0.502598,0.5794254,0.9906688,0.9032925,1.4725946,-4.0954046,1.6048286,0.33038095,-1.0619811,-0.16222209,-0.13472572,1.4782339
complicates,0.3384732,1.5362986,0.50430787,-1.2298018,1.1496879,0.4707248,-2.1054902,-0.22182487,-0.2726822,-1.2624629,-0.03501982,-1.3485955,-3.374434,1.0178266,-1.1253363,-0.43495452,0.6964044,0.5227129,-0.45537892,1.1592977,0.3773263,-1.324447,-0.26271823,-1.2611226,-1.0929452,1.4381024,1.5494409,1.8169683,-0.25305498,0.4477727,0.46331263,0.4076787
occurs_in,0.11579462,0.81539315,0.3859738,0.5286369,0.046643477,1.4068241,1.1377174,-0.7258285,1.2709261,0.020436304,0.9001263,0.2271147,-2.7026227,-1.6839323,-1.3427832,-0.4739164,-1.0634415,0.0047528115,-0.86037403,-1.0476667,0.15240906,-0.7102907,-0.2991688,0.59474105,-0.20409429,0.045705687,0.49206257,-1.2533133,-0.7568242,-0.5157477,-1.6405784,-0.6531034
uses,0.9987216,1.7103943,-1.0749229,-0.53390104,1.6694535,1.4206772,-0.24275772,0.48325977,-1.2477922,-0.29446405,2.9407973,-1.222766,-1.0933604,0.9337289,0.2994501,-0.17159592,-0.66584224,-1.4101785,-0.68126494,-0.44151613,-1.5387353,-0.09305292,-0.22997929,0.62071854,-0.8279208,-0.6840336,1.1933078,-1.3864284,2.0898905,-2.2796457,-0.35773435,-1.3163705
