,0,1,2,3
location_of,-1.2425015,1.0478506,1.1131504,-0.883801
manifestation_of,-1.4527627,0.36133456,1.7084606,-0.28825837
isa,-0.016467953,0.20226264,0.34515384,0.28913713
affects,0.7380083,0.65623665,-0.453865,0.47791803
associated_with,-0.81879973,-0.2596398,-0.294368,0.97451067
interacts_with,-0.13605039,0.038547534,0.45899358,1.393386
result_of,0.8258657,-0.5199823,0.4631693,-0.42753714
complicates,-2.1330268,1.9031214,2.65768,0.1096687
occurs_in,-1.0082263,0.010617577,-0.15984827,2.0215254
uses,0.9790569,-1.0701123,0.81838036,-1.4232466
produces,0.77973276,0.5616711,-1.1718025,-0.6636503
degree_of,-1.5690985,2.0772297,1.7044172,-1.1234943
connected_to,-0.7008323,0.3202277,-0.69882244,2.0930293
process_of,0.8494802,-0.19160946,0.8184506,-0.977963
co-occurs_with,0.743557,0.67591184,0.07215179,-0.89753735
disrupts,-2.3440669,0.18442005,1.9481313,1.4676377
issue_in,-1.0556719,1.3074254,1.4642415,-0.8573052
part_of,-1.1565111,0.5682761,1.2158897,0.24660695
measures,0.84396094,-0.44494963,-2.74684,-1.4372034
prevents,-2.1975698,2.1600506,0.93107915,1.431612
causes,0.9225101,-0.11564919,0.27394155,0.8113826
indicates,-0.64497745,-1.6228471,0.2863429,-1.773827
treats,-1.4762229,-0.22490045,0.8692267,0.5539612
evaluation_of,-1.3788881,0.7107144,2.0959175,-1.3107551
diagnoses,-1.1752602,-0.01399484,-0.84263676,0.4927314
exhibits,0.3994469,-1.7737838,0.7995157,0.15562932
ingredient_of,-0.18152711,-0.5792983,0.79784226,1.2247115
property_of,0.16082722,1.5114695,-1.7841364,-0.60145336
manages,0.3560193,0.16692284,0.5341042,-0.467034
assesses_effect_of,0.3466205,0.97887594,-1.3590544,-3.9690268
method_of,0.59366894,0.053664107,-1.5440248,1.0387298
measurement_of,1.163914,-1.6147468,-0.341768,0.20504057
precedes,1.0325885,-0.41755745,-0.114632756,0.3823214
consists_of,-0.5179225,0.019158665,1.2880771,0.7288637
performs,0.53233725,-0.038503394,0.86267066,-0.80661005
conceptual_part_of,-0.106026076,1.1188555,-0.6444123,0.17019285
analyzes,0.113056555,1.4232945,-1.3633412,-3.8969474
carries_out,-0.8541768,-0.033512816,1.5839345,-0.7393383
developmental_form_of,-0.90881944,0.60981065,0.6641944,1.0768497
contains,0.48505545,-0.21555044,0.2731164,-1.7645453
adjacent_to,-0.87101626,1.2735492,-0.055442043,0.5344856
interconnects,-1.3238419,-0.0201578,1.8422889,0.69516087
conceptually_related_to,0.49601507,-0.6789547,0.40562576,0.6712816
surrounds,0.041496832,0.84724945,-1.234159,1.4072603
derivative_of,0.8843486,0.43392885,-1.3484701,-0.9591963
practices,-0.30709228,1.0462133,1.4975545,-1.5818796
