,0,1
location_of,0.042972032,-0.024442594
manifestation_of,0.34656143,0.2726099
isa,0.4122076,0.25064632
affects,-0.42732212,-0.19460452
associated_with,-0.4133918,1.2653089
interacts_with,0.3452082,-0.03221817
result_of,0.30449596,0.22907785
complicates,-0.02926122,0.086997256
occurs_in,-0.23252217,0.24429001
uses,0.5719261,-0.81553084
produces,-0.8116181,0.24329086
degree_of,0.13165306,1.0646359
connected_to,1.323079,0.24451822
process_of,0.06689249,0.11106678
co-occurs_with,0.12566301,0.59536374
disrupts,1.1954103,-1.1733525
issue_in,0.020859072,-0.3299571
part_of,0.7845908,-0.40331623
measures,-0.2392305,0.12786481
prevents,0.7680255,-0.012484259
causes,0.07022825,-1.3612486
indicates,0.25428176,-0.42554453
treats,0.080492765,-0.3435751
evaluation_of,-0.5276175,-0.16185246
diagnoses,0.76949817,0.54088277
exhibits,-0.2018883,-0.15724206
ingredient_of,-0.27483687,0.30218032
property_of,0.47012144,-0.14494519
manages,0.547103,0.073353626
assesses_effect_of,-0.19143714,-0.40746707
method_of,1.1812536,0.2191219
measurement_of,-0.8249262,0.116824575
precedes,1.6847812,-0.3765823
consists_of,-0.15876524,0.6193156
performs,0.23088394,-0.7639632
conceptual_part_of,-0.23349665,-1.2762028
analyzes,-1.0666586,0.4738287
carries_out,0.6413167,0.79270554
developmental_form_of,-0.6955682,-0.82885027
contains,0.15198497,0.38249758
adjacent_to,-0.93558764,1.0925888
interconnects,-0.89637804,-0.64798254
conceptually_related_to,-1.4785666,-0.8833813
surrounds,0.75882214,0.17752287
derivative_of,-0.8381602,-0.406927
practices,-0.78799886,1.8611863
