,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
acquired_abnormality,-0.73335433,-1.0780658,-0.84366703,-0.5124892,0.7505086,-0.55239624,0.6243667,-1.1037225,0.24477452,0.7830537,-0.46665728,-0.09749275,0.408397,0.13515158,-0.0804138,0.024032198
anatomical_abnormality,-0.9189368,-1.2905458,-0.8914784,-0.44957563,1.0007294,-0.6564464,0.50916946,-1.0061725,0.24522008,0.85915285,-0.49648535,-0.16429777,0.5884582,0.084367394,-0.04679464,-0.041208103
alga,0.061092936,-0.9081445,0.9101022,0.61541283,1.3485354,0.84059143,0.46100888,0.3450753,-0.77757376,-0.5190465,-0.66562307,0.340241,0.4026525,-0.30182186,1.0921531,-0.7032189
mental_or_behavioral_dysfunction,-0.40468717,-0.7651033,-0.14828062,-0.41925767,1.1582707,-0.41161135,0.71832836,-0.2910953,0.018380003,0.9396757,-0.30017614,-0.20844364,0.7140381,0.9220378,-0.57697946,0.4725423
health_care_activity,0.08152439,-1.3657058,-0.56028616,0.7322514,0.5823763,-0.30434802,0.97322,-0.9361189,-0.7914928,0.5408071,-0.74826837,0.13633485,-1.4666678,1.1004541,1.7179064,-0.36551687
population_group,-1.4088254,0.32129395,-0.08564717,-1.0389758,0.43058515,0.4086096,1.099948,0.8640084,-1.3785182,-0.078084156,0.502494,-0.544489,-0.24705987,0.10124937,1.6938365,0.7386232
clinical_attribute,-1.74718,-0.56929743,0.15725814,-0.5941538,0.38719895,0.15759416,1.1611873,0.2570882,-0.119288094,-0.11271039,-0.48865908,-0.80451393,-1.0749298,1.3548506,-0.22059196,-0.35935578
body_part_organ_or_organ_component,-0.6153814,-1.0322311,-0.04638837,-0.17556126,-0.15687925,1.5119328,-0.91561246,-0.30882302,1.5369037,-0.4020848,-0.23298466,0.29181358,0.14851892,0.080160454,0.89757425,-1.251258
biologically_active_substance,0.57975143,-0.49545497,-0.27387905,-0.09953287,-0.20601727,0.03671079,-0.13859053,0.20304981,-0.89597046,-0.18182075,-0.6262984,-0.6409853,1.3702426,0.95539314,0.20166643,-1.273052
disease_or_syndrome,-0.58742934,-0.7341741,-0.14737399,-0.20341958,1.0241905,-0.33496088,0.8971714,-0.48407772,-0.016795844,1.1320789,-0.38169158,-0.11192458,0.74058026,0.8939698,-0.56926227,0.2653184
carbohydrate,0.72876567,-0.9832401,-0.70095086,0.6140803,-0.2667295,0.5225996,-0.0796547,0.7896275,-0.66821855,-0.7514426,-1.4666171,-0.11546727,0.14456673,1.2193005,-0.42317846,-1.0520967
molecular_sequence,-1.3119973,0.4899065,0.15763603,-0.7557391,-0.5409523,1.7343509,1.0201102,0.39767504,0.589164,-2.436901,-2.3395765,0.5889773,-0.14573458,0.14343835,0.63289654,0.5750815
steroid,0.36556098,-0.5960728,-0.61651814,0.7783518,-0.37797326,0.35100287,-0.013614295,0.8436777,-0.84157884,-0.42151427,-1.3111889,-0.108473115,-0.051486615,1.2752482,-0.505255,-1.080625
