,0,1,2,3
location_of,-2.08694,-1.7157867,3.2634094,-0.28831315
manifestation_of,-1.4065893,1.6139283,1.1353953,1.5934138
isa,-1.3339344,1.8518975,0.6033565,-1.8815039
affects,-1.995785,1.2624979,-2.076297,1.1094543
associated_with,-0.70776063,1.610836,-0.8531429,3.2427049
interacts_with,-2.1023257,0.031086992,0.43182865,-0.87549055
result_of,-0.96277004,0.061508585,0.57368386,-1.7061925
complicates,0.2947369,-0.66404605,-3.2644744,1.420092
occurs_in,0.37210712,1.7606122,-1.4649625,-2.9959936
uses,2.0737848,2.9527962,3.7560883,-0.50603235
produces,-0.30067524,0.8643245,5.3147664,-1.0445378
degree_of,-1.664196,0.68975073,0.57511723,-1.4396617
connected_to,-0.13682961,-0.39527634,2.4590416,-0.04166731
process_of,-1.4284666,2.4298866,-0.47555035,-0.671445
co-occurs_with,2.0393507,-0.14626317,-0.37889835,1.2494888
disrupts,1.2403961,0.9752566,-4.8594394,1.3762356
issue_in,-2.4512255,2.6791182,1.3870599,-3.870073
part_of,-4.232429,2.7522461,0.6409007,0.09069193
measures,1.6285822,3.3788266,0.5876216,4.435505
prevents,-1.9768075,-1.6239349,-3.456269,4.420056
causes,-1.9427375,-3.0033212,-3.597478,1.8433797
indicates,-3.2964075,2.0026686,-2.062981,1.280786
treats,-0.30945426,-1.606938,-3.6471062,3.494206
evaluation_of,-4.7768435,1.575253,0.32875863,2.0153584
diagnoses,-1.908698,0.53946793,-1.1140608,3.9189458
exhibits,0.7759387,-3.9816966,1.5362796,-3.081852
ingredient_of,-1.3133875,3.214155,-1.6551994,-3.7083228
property_of,-1.8013132,4.2832656,2.3965096,0.2932415
manages,0.26055646,0.34312293,-0.7230182,-0.0012967507
assesses_effect_of,1.6628854,3.5571704,1.5120478,3.7917247
method_of,-0.6430096,4.748741,0.50476164,-0.37830988
measurement_of,-1.3590785,2.869323,2.649011,0.7236346
precedes,1.7289841,-0.6487169,-0.37575048,1.2055343
consists_of,0.48077324,-2.2338924,2.7341924,-0.8590797
performs,-0.34156176,-4.200759,3.5955417,-0.02376958
conceptual_part_of,-0.4603526,-1.0481291,0.7058496,0.12566207
analyzes,2.4987605,4.667202,2.8610735,3.334666
carries_out,-3.9872105,-3.2872448,4.0461955,1.4477826
developmental_form_of,0.036734726,-1.04353,1.1113025,0.5447711
contains,-1.3031049,0.86801744,3.786866,-0.27103955
adjacent_to,0.633639,-0.07443579,0.77642965,0.6343221
interconnects,1.0018687,0.88338864,0.2134447,-0.2473378
conceptually_related_to,1.0898323,2.081256,-1.2528595,0.0068842424
surrounds,-0.40351456,0.07340666,0.2126879,0.54584765
derivative_of,0.8259201,-1.0714042,-4.4646215,0.5806046
practices,-2.378037,2.9377797,4.5335665,-1.1111169
