,0,1,2,3
location_of,-1.0078948,0.8247965,0.47938854,-0.7724636
manifestation_of,1.3480213,-2.624203,3.7619882,-2.8564227
isa,0.11750881,0.088949,0.03441159,-0.017069045
affects,-0.9400282,1.1304083,0.6866395,1.220561
associated_with,-1.3230364,-0.04245694,0.21384174,0.37153694
interacts_with,1.041302,0.5610989,0.043795504,0.68702173
result_of,1.4701574,-3.0774453,3.4506423,-1.9858447
complicates,-1.0641838,0.7762046,1.3504423,1.3781316
occurs_in,-0.88153964,1.2212116,-0.49965006,-0.6693981
uses,-0.55142236,-0.3169434,0.016842002,0.13208117
produces,-1.4513452,-0.39529324,0.3019346,0.72471595
degree_of,2.3710778,-1.0616559,3.5854464,-2.1761622
connected_to,-0.7258257,0.83868337,0.3545863,-0.20134924
process_of,-0.51819813,1.9953592,1.0763776,0.16941784
co-occurs_with,1.1966553,-1.1021409,2.9998307,-2.5104795
disrupts,-2.0084522,-0.06611717,0.87783116,0.6461207
issue_in,-0.503639,0.48231408,-0.19413653,0.30017325
part_of,0.5431998,0.8512168,-0.8942581,-0.8868728
measures,0.03984892,-0.26345974,-0.5703917,0.15689363
prevents,0.33441454,0.33791178,0.53242373,1.441746
causes,0.51329434,0.8979887,0.5255297,1.5480356
indicates,-1.815334,0.1099865,1.0889895,0.2964422
treats,-0.30415082,-0.2747139,-0.13770361,0.97386175
evaluation_of,-1.3973337,0.48217186,0.99452466,0.02412574
diagnoses,-1.423663,0.09394021,-0.05478401,0.4778175
exhibits,-2.3712378,0.024475494,0.15956178,1.4008768
ingredient_of,0.10139245,1.2702031,-0.09432046,-0.11598381
property_of,-2.0628204,0.28495517,0.72201383,0.8150468
manages,-0.58205014,-1.350197,-0.5332563,2.3172586
assesses_effect_of,-0.1769974,-0.4192699,-0.80959684,0.46395457
method_of,-0.5074325,0.99937797,-1.0488142,0.6845882
measurement_of,-0.9468741,-0.23731314,0.17675121,0.5279428
precedes,2.6420488,-0.8850307,4.1370764,-1.7611989
consists_of,0.59066427,-0.05304899,-0.7586662,0.012649664
performs,-1.7594779,0.9280627,0.5204372,0.18321317
conceptual_part_of,0.13453533,0.70807624,-1.0010514,0.72151905
analyzes,-0.36520323,-0.09342076,-1.0735358,0.40803915
carries_out,-1.6936991,1.2977207,0.33382484,-0.25655007
developmental_form_of,-0.48475108,1.10005,0.25189492,-0.42499515
contains,-1.3214947,0.22736777,0.8328302,0.5597034
adjacent_to,-0.32948154,1.8027471,-0.60307163,-0.72605866
interconnects,-0.94380677,1.3847227,0.6088557,-0.55399007
conceptually_related_to,-0.40532616,0.39019138,0.8189344,-0.030365137
surrounds,-0.57077533,0.6716681,0.739769,-0.20708154
derivative_of,-0.97302604,-0.3024274,0.43039587,0.92118424
practices,-0.8994741,0.39038897,0.0022249632,0.97428286
