,0,1,2,3
location_of,-1.310377,2.8829,0.98492366,-2.9400733
manifestation_of,-1.8803002,2.17446,1.7521785,-2.8405945
isa,0.069723845,-0.26899374,0.19606683,0.67156947
affects,0.70720303,1.0585407,-0.36960587,0.08203527
associated_with,-1.3354511,1.1384081,0.14459339,-0.11960367
interacts_with,-0.26155594,-0.33116132,0.46855286,1.9958086
result_of,0.84932506,-0.6831257,0.39112908,-0.3623173
complicates,-2.2781713,2.5818322,2.5302866,-0.8320733
occurs_in,1.2505217,-0.34957987,-1.0840683,1.1717865
uses,1.4173166,-1.612643,0.5458602,-0.8816203
produces,0.7893952,0.32705656,-1.4087769,-0.15381803
degree_of,-1.5377392,3.4214337,2.1582637,-1.1584378
connected_to,-1.1916848,0.62820804,-0.14564419,2.6678953
process_of,0.93446255,-0.0015041268,0.7466213,-1.5536853
co-occurs_with,0.61622226,1.4627172,-0.1265817,-2.7756698
disrupts,-2.3457906,1.9626814,1.6874591,0.065091334
issue_in,-0.25753102,1.2627167,1.3490222,-2.2756996
part_of,-0.9227442,-0.040261157,1.089017,0.602143
measures,0.44317946,0.9862202,-2.1933453,-2.2206903
prevents,-2.3290298,1.4238921,1.1521047,2.2913857
causes,1.0389682,-0.38175517,0.35822263,1.1702245
indicates,-1.166572,-0.7338424,1.7067755,-0.13524792
treats,-2.025447,-0.7892775,1.5783474,2.4442434
evaluation_of,-1.592113,2.175645,1.7944883,-3.0994287
diagnoses,-0.5280026,-0.3973687,-1.6288621,-0.4641099
exhibits,-0.30158216,-2.120508,1.5276291,1.766292
ingredient_of,-0.07817949,-1.0267878,0.45672536,1.4799289
property_of,-1.436733,2.565731,-0.5022031,0.7718268
manages,-0.582521,-0.03140564,0.8439746,0.19917686
assesses_effect_of,-0.1993645,2.16885,-0.8735342,-4.687698
method_of,-1.0905426,1.6212753,-0.69642186,0.87105393
measurement_of,1.2575008,-2.341835,-0.2757417,1.0624741
precedes,0.91074395,-0.11809334,-0.5415826,-0.9206714
consists_of,-0.8314046,-0.14683235,1.5197469,1.3804926
performs,0.7426643,0.29011798,0.11147922,-2.101808
conceptual_part_of,0.20672016,1.2057719,-0.7301387,-0.019157834
analyzes,-0.22561239,2.563766,-0.91340214,-4.8859024
carries_out,-0.60170543,0.4949877,1.593645,-1.0917344
developmental_form_of,-0.7947294,0.8186259,0.663916,0.97076726
contains,0.09333184,-0.13193992,0.49921507,-1.2884594
adjacent_to,-0.98804665,1.610999,-0.2581395,-0.111188434
interconnects,-0.6883938,0.13329154,1.9451255,0.7581608
conceptually_related_to,-0.67288697,-0.7711262,0.7019536,1.1670289
surrounds,-0.37799734,0.94824874,-1.149207,1.4358963
derivative_of,1.3406187,0.55623204,-1.3668431,-0.9788097
practices,-2.528553,2.017279,2.7449286,-0.37988237
